Recourse_Method,Dataset,ML_Model,L0_distance,L1_distance,L2_distance,Linf_distance,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
dice,adult,linear,2.0,1.06123732,1.0037500093607823,1.0,0.0,1.0,0.16000000000000006,1.0,0.3170189199999999
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,0.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,0.0,,,
dice,adult,linear,2.0,1.2332554563265306,1.054408107906098,1.0,0.0,2.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,1.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,2.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,1.0,,,
dice,adult,linear,2.0,1.16574687,1.0274720249147968,1.0,0.0,1.0,,,
dice,adult,linear,1.0,1.0,1.0,1.0,0.0,0.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,1.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,0.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,2.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,1.0,1.0,,,
dice,adult,linear,2.0,1.46084354,1.2123767683597315,1.0,0.0,1.0,,,
dice,adult,linear,2.0,1.2855668157534246,1.0815484062595504,1.0,1.0,1.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,1.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,1.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,1.0,,,
dice,adult,linear,2.0,1.5119742358904111,1.2621176182155702,1.0,1.0,1.0,,,
dice,adult,linear,2.0,2.0,2.0,1.0,0.0,2.0,,,
dice,compass,linear,3.0,2.5473684210526315,2.299612188365651,1.0,1.0,0.0,0.6799999999999999,1.0,0.12400251000000005
dice,compass,linear,2.0,2.0,2.0,1.0,1.0,0.0,,,
dice,compass,linear,2.0,1.3736842105263158,1.139639889196676,1.0,0.0,1.0,,,
